Event	ID	Name			Wwise Object Path	Notes
	133070716	launcher_load			\Default Work Unit\2D\player\weapon\launcher\launcher_reload\launcher_load	
	166625877	launcher_lock			\Default Work Unit\2D\player\weapon\launcher\launcher_reload\launcher_lock	
	838803493	assault_rifle_fire_loop			\Default Work Unit\2D\player\weapon\assault_rifle\assault_rifle_fire_loop	
	943549884	weapon_equip			\Default Work Unit\2D\player\weapon\weapon_foley\weapon_equip	
	1010747703	assault_rifle_reload			\Default Work Unit\2D\player\weapon\assault_rifle\assault_rifle_reload	
	1128978829	ambience_hall			\Default Work Unit\2D\AMB\ambience_hall	
	1148345285	launcher_projectile			\Default Work Unit\3D\weapon\launcher\launcher_projectile	
	1384741713	assault_rifle_out_of_ammo			\Default Work Unit\2D\player\weapon\assault_rifle\assault_rifle_out_of_ammo	
	1563725988	launcher_fire			\Default Work Unit\2D\player\weapon\launcher\launcher_fire	
	1682879582	footsteps_foley			\Default Work Unit\2D\player\foley\footsteps_foley	
	1703509678	launcher_impact			\Default Work Unit\3D\weapon\launcher\impact\launcher_impact	
	2385628198	footsteps			\Default Work Unit\3D\footsteps\footsteps	
	2803265243	out_of_ammo_warning			\Default Work Unit\2D\player\weapon\assault_rifle\out_of_ammo_warning	
	3015445330	footsteps_landing_foley			\Default Work Unit\2D\player\foley\footsteps_landing_foley	
	3212347026	footsteps_landing			\Default Work Unit\3D\footsteps\footsteps_landing	
	3503616900	assault_rifle_impact_concrete			\Default Work Unit\3D\weapon\assault_rifle\impact\assault_rifle_impact_concrete	
	3731941266	health_pickup			\Default Work Unit\3D\pickups\health_pickup	
	3785878977	jump_foley			\Default Work Unit\2D\player\foley\jump_foley	
	3954294831	launcher_insert			\Default Work Unit\2D\player\weapon\launcher\launcher_reload\launcher_insert	
	3974943475	ambience_stone			\Default Work Unit\2D\AMB\ambience_stone	
	4038751939	weapon_aim			\Default Work Unit\2D\player\weapon\weapon_foley\weapon_aim	
	4231288869	assault_rifle_fire_tail			\Default Work Unit\2D\player\weapon\assault_rifle\assault_rifle_fire_tail	
	4253579710	ammo_pickup			\Default Work Unit\3D\pickups\ammo_pickup	

Switch Group	ID	Name			Wwise Object Path	Notes
	1162743606	footsteps_surface			\Default Work Unit\footsteps\footsteps_surface	

Switch	ID	Name	Switch Group			Notes
	841620460	Concrete	footsteps_surface			
	2058049674	Wood	footsteps_surface			
	2195636714	Dirt	footsteps_surface			
	2449969375	Glass	footsteps_surface			
	2473969246	Metal	footsteps_surface			
	2654748154	Water	footsteps_surface			
	4248645337	Grass	footsteps_surface			

State Group	ID	Name			Wwise Object Path	Notes
	1622844561	amb_state			\Default Work Unit\amb_state	

State	ID	Name	State Group			Notes
	748895195	None	amb_state			
	1111537851	stone_inside	amb_state			
	3271994640	stone_outside	amb_state			

Custom State	ID	Name	State Group	Owner		Notes
	774953169	stone_outside	amb_state	\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\AMB\ambience_stone		

Game Parameter	ID	Name			Wwise Object Path	Notes
	1297966937	RTPC_out_of_ammo_warning			\Default Work Unit\RTPC\RTPC_out_of_ammo_warning	
	2709209934	RTPC_ammo_HPF			\Default Work Unit\RTPC\RTPC_ammo_HPF	
	4289128226	RTPC_ammo_Pitch			\Default Work Unit\RTPC\RTPC_ammo_Pitch	

Audio Bus	ID	Name			Wwise Object Path	Notes
	3803692087	Master Audio Bus			\Default Work Unit\Master Audio Bus	

Auxiliary Bus	ID	Name			Wwise Object Path	Notes
	2477241980	hall_close_reverb			\Default Work Unit\Master Audio Bus\hall_close_reverb	
	4162753235	hall_reverb			\Default Work Unit\Master Audio Bus\hall_reverb	

Effect plug-ins	ID	Name	Type				Notes
	2648499661	Hall_Medium_Dark	Wwise RoomVerb			
	2891462749	Room_Medium_High_Absorbtion	Wwise RoomVerb			
	3701691487	Hall_Large_Bright	Wwise RoomVerb			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	9196894	launcher_load_1	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\launcher_lock_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\player\weapon\launcher\reload\launcher_load\launcher_load_1		169136
	10343609	mechanical_3	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\mechanical_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\player\weapon\assault_rifle\out_of_ammo\mechanical\mechanical_3		70672
	21665775	ricochet_6	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\ricochet_6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\3D\weapon\assault_rifle\impact\assault_rifle_concrete\ricochet\ricochet_6		67240
	25678859	reload_release_1	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\reload_release_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\player\weapon\assault_rifle\reload\release\reload_release_1		304064
	26930512	plasma_2	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\plasma_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\3D\weapon\launcher\impact\launcher\plasma\plasma_2		191626
	37698689	energy_4	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\energy_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\player\weapon\launcher\fire\energy\energy_4		313116
	38469880	weapon_aim_3	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\weapon_aim_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\player\weapon\foley\weapon_aim\weapon_aim_3		220564
	50498202	reload_slide_1	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\reload_slide_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\player\weapon\assault_rifle\reload\slide\reload_slide_1		304064
	55783991	rock_slide_7	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\rock_slide_7_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\AMB\ambience_hall\rock_slide\rock_slide_7		220564
	57599933	explosion_4	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\explosion_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\3D\weapon\launcher\impact\launcher\explosion\explosion_4		188400
	59001690	reload_mechanical_2	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\reload_mechanical_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\player\weapon\assault_rifle\reload\mechanical\reload_mechanical_2		302524
	60273400	servo_4	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\servo_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\player\footsteps\footsteps_foley\servo\servo_4		147064
	63850293	launcher_lock_4	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\lock_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\player\weapon\launcher\reload\launcher_lock\launcher_lock_4		588064
	64502109	fire_tail_4	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\fire_tail_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\player\weapon\assault_rifle\fire\fire_tail\fire_tail_4		237632
	70920237	deny_3	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\deny_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\player\weapon\assault_rifle\out_of_ammo\deny\deny_3		320064
	71329987	ricochet_4	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\ricochet_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\3D\weapon\assault_rifle\impact\assault_rifle_concrete\ricochet\ricochet_4		51198
	79866265	fire_loop	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\fire_loop_1_C5579977.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\player\weapon\assault_rifle\fire_loop		709592
	85821049	jump_whoosh_4	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\jump_whoosh_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\player\footsteps\jump_foley\jump_whoosh\jump_whoosh_4		220564
	89443182	ricochet_7	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\ricochet_7_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\3D\weapon\assault_rifle\impact\assault_rifle_concrete\ricochet\ricochet_7		87068
	94113153	ambience_stone	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\stone_loop_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\AMB\ambience_stone		3551388
	94222991	launcher_load_3	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\launcher_lock_3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\2D\player\weapon\launcher\reload\launcher_load\launcher_load_3		190148
	104794304	cement_4	C:\Users\arawi\Downloads\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\cement_4_2C4B0713.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\3D\weapon\assault_rifle\impact\assault_rifle_concrete\cement\cement_4		49674
